Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
162,123,131,1.3727191776092926,-1.027044168004852,345,0.018658989422367676,0,1,0,0,0,2.4240904265312166,1.143330539160131,1,5,0.5465351546585812
162,123,861,1.3729001741234228,-1.0273602292917683,1670,0.11170914120939865,0,1,0,0,0,2.4240904265312166,1.3411808096567228,0,1,0.87897993423457
162,123,861,1.3728947430221592,-1.0273786397027465,9,0.03726901977977387,0,1,0,0,0,2.4240904265312166,1.2092806293256615,0,1,1.0719373937087453
30,21,66,-2.7012822545073045,-3.780972618520891,852,-0.07097932346580549,1,0,0,0,0,0.2155158139394348,0.22002927684270077,2,0,-0.350833271329752
30,21,66,-2.7013034237438367,-3.7821862002888853,331,-0.07253015932892268,1,0,0,0,0,-0.8887714923564561,0.7476299981669463,5,2,-0.34385890532466135
30,21,66,-2.701290628339368,-3.7803667102282716,177,-0.07159965781105236,1,0,0,0,0,0.2155158139394348,0.6816799080014159,5,2,-0.33920932798793424
30,21,66,-2.7014360660926324,-3.7804903647779224,257,-0.07066915629318206,1,0,0,0,0,1.3198031202353258,0.7476299981669463,5,2,-0.33920932798793424
30,21,67,-2.7020992778366137,-3.7870617268151006,1618,-0.07128949063842893,1,0,0,0,0,0.2155158139394348,0.3519294571737623,2,0,-0.33920932798793424
30,21,67,-2.7020992778366137,-3.787046585126486,1111,-0.06942848760268831,1,0,0,0,0,1.3198031202353258,0.2859793670082315,2,0,-0.3415341166562978
30,21,67,-2.7019023239655877,-3.7860472536645493,109,-0.06880815325744144,1,0,0,0,0,1.3198031202353258,0.6816799080014159,5,2,-0.3461836939930249
30,21,67,-2.701966635487818,-3.786713474336346,1111,-0.06198447545972583,1,0,0,0,0,2.4240904265312166,0.6816799080014159,5,2,-0.35315805999811556
30,21,67,-2.7014842996740134,-3.783957742425954,260,-0.07253015932892268,1,0,0,0,0,-0.8887714923564561,-1.7584734281232204,4,3,-0.3601324260032063
30,21,67,-2.7022922121621358,-3.787076867595232,1031,-0.0650861471859602,1,0,0,0,0,2.4240904265312166,0.9454802686635383,1,5,-0.3368845393195707
30,21,1204,-2.7045913461275477,-3.78760681670343,1618,-0.06818781891219457,1,0,0,0,0,2.4240904265312166,0.2859793670082315,2,0,-0.34385890532466135
30,21,1204,-2.7045935569137507,-3.7878437790881674,218,-0.07066915629318206,1,0,0,0,0,1.3198031202353258,0.6157298178358851,5,2,-0.34385890532466135
30,21,1204,-2.7045350736963267,-3.7873948366967576,1219,-0.06818781891219457,1,0,0,0,0,2.4240904265312166,1.0773804489946,1,5,-0.2973631319573902
30,21,136,-2.7014561633378187,-3.783003835121379,1022,-0.06012347242398521,1,0,0,0,0,2.4240904265312166,1.0114303588290694,1,5,-0.3252605959777529
